period,respondent,respondent-name,fueltype,type-name,value,value-units
2025-07-12 10:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-12 10:00:00,FPL,Florida Power & Light Co.,OTH,Other,183.0,megawatthours
2025-07-12 10:00:00,FPL,Florida Power & Light Co.,SUN,Solar,0.0,megawatthours
2025-07-12 09:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,10030.0,megawatthours
2025-07-12 09:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3727.0,megawatthours
2025-07-12 09:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-12 09:00:00,FPL,Florida Power & Light Co.,OTH,Other,184.0,megawatthours
2025-07-12 09:00:00,FPL,Florida Power & Light Co.,SUN,Solar,0.0,megawatthours
2025-07-12 08:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,10496.0,megawatthours
2025-07-12 08:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3723.0,megawatthours
2025-07-12 08:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-12 08:00:00,FPL,Florida Power & Light Co.,OTH,Other,184.0,megawatthours
2025-07-12 08:00:00,FPL,Florida Power & Light Co.,SUN,Solar,0.0,megawatthours
2025-07-12 07:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,11227.0,megawatthours
2025-07-12 07:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3719.0,megawatthours
2025-07-12 07:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-12 07:00:00,FPL,Florida Power & Light Co.,OTH,Other,186.0,megawatthours
2025-07-12 07:00:00,FPL,Florida Power & Light Co.,SUN,Solar,0.0,megawatthours
2025-07-12 06:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,12045.0,megawatthours
2025-07-12 06:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3720.0,megawatthours
2025-07-12 06:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-12 06:00:00,FPL,Florida Power & Light Co.,OTH,Other,183.0,megawatthours
2025-07-12 06:00:00,FPL,Florida Power & Light Co.,SUN,Solar,0.0,megawatthours
2025-07-12 05:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,13251.0,megawatthours
2025-07-12 05:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3716.0,megawatthours
2025-07-12 05:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-12 05:00:00,FPL,Florida Power & Light Co.,OTH,Other,182.0,megawatthours
2025-07-12 05:00:00,FPL,Florida Power & Light Co.,SUN,Solar,0.0,megawatthours
2025-07-12 04:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,14452.0,megawatthours
2025-07-12 04:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3707.0,megawatthours
2025-07-12 04:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-12 04:00:00,FPL,Florida Power & Light Co.,OTH,Other,274.0,megawatthours
2025-07-12 04:00:00,FPL,Florida Power & Light Co.,SUN,Solar,0.0,megawatthours
2025-07-12 03:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,15798.0,megawatthours
2025-07-12 03:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3707.0,megawatthours
2025-07-12 03:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-12 03:00:00,FPL,Florida Power & Light Co.,OTH,Other,280.0,megawatthours
2025-07-12 03:00:00,FPL,Florida Power & Light Co.,SUN,Solar,0.0,megawatthours
2025-07-12 02:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,17033.0,megawatthours
2025-07-12 02:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3707.0,megawatthours
2025-07-12 02:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-12 02:00:00,FPL,Florida Power & Light Co.,OTH,Other,380.0,megawatthours
2025-07-12 02:00:00,FPL,Florida Power & Light Co.,SUN,Solar,-1.0,megawatthours
2025-07-12 01:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,17388.0,megawatthours
2025-07-12 01:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3709.0,megawatthours
2025-07-12 01:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-12 01:00:00,FPL,Florida Power & Light Co.,OTH,Other,481.0,megawatthours
2025-07-12 01:00:00,FPL,Florida Power & Light Co.,SUN,Solar,21.0,megawatthours
2025-07-12 00:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,17798.0,megawatthours
2025-07-12 00:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3704.0,megawatthours
2025-07-12 00:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-12 00:00:00,FPL,Florida Power & Light Co.,OTH,Other,583.0,megawatthours
2025-07-12 00:00:00,FPL,Florida Power & Light Co.,SUN,Solar,552.0,megawatthours
2025-07-11 23:00:00,FPL,Florida Power & Light Co.,NG,Natural Gas,18851.0,megawatthours
2025-07-11 23:00:00,FPL,Florida Power & Light Co.,NUC,Nuclear,3711.0,megawatthours
2025-07-11 23:00:00,FPL,Florida Power & Light Co.,OIL,Petroleum,0.0,megawatthours
2025-07-11 23:00:00,FPL,Florida Power & Light Co.,OTH,Other,489.0,megawatthours
